id,title,author,year,isbn,status
868,Cipher Phoenix Dawn River,Alan van Rossum,1987,9788677524014,AVAILABLE
869,Voyage Glass Star Dawn,Hedy Lamarr,1958,9786227236266,OUT
870,Dawn Night Harbor Machine,Grace Berners-Lee,1985,9786192372450,OUT
871,Crystal Echo Star Echo,Donald Lamarr,2010,9787418972154,OUT
872,Signal Harbor,Margaret Knuth,2009,9782743811995,AVAILABLE
873,Phoenix Phoenix,John Gosling,2003,9781444856451,OUT
874,Crystal Whisper,John Berners-Lee,2024,9789641789969,AVAILABLE
875,Phoenix Halo Glass Signal,Alan Lamarr,1963,9781911359966,AVAILABLE
876,Quantum Empire Machine Fire,Frances Allen,2023,9780660392051,AVAILABLE
877,Halo Cipher Circuit,Ada Allen,1982,9785534705742,AVAILABLE
878,Voyage Atlas,Mary Ritchie,2001,9782715598354,AVAILABLE
879,Halo Quantum,Grace van Rossum,1990,9782634755752,AVAILABLE
880,Garden Shadow,Donald Torvalds,2024,9788848826913,OUT
881,Storm Whisper,Hedy van Rossum,1983,9785856261499,OUT
882,Garden Night,Frances Turing,1981,9784073333732,AVAILABLE
883,Star Night,Ada Lamarr,2011,9786889362896,AVAILABLE
884,Dust Dream Dream Signal,Margaret Thompson,1983,9785358512538,AVAILABLE
885,Moon Crystal Halo Circuit,Claude Backus,2018,9789358374907,OUT
886,Archive Labyrinth Dust Cipher,Grace Dijkstra,1952,9788057215149,AVAILABLE
887,Dream Quantum Shadow,Hedy Backus,2005,9782637484539,AVAILABLE
888,Cipher Moon Atlas Voyage,Satoshi Ritchie,1950,9780591191862,AVAILABLE
889,Dawn Night Code Atlas,Edsger Dijkstra,1953,9787151169666,AVAILABLE
890,Labyrinth Moon Phoenix Garden,Edsger Knuth,1989,9786471246335,AVAILABLE
891,Fire Storm Garden Archive,Donald Shannon,1982,9789080512080,OUT
892,Garden Signal,Katherine Lovelace,2022,9781239728351,AVAILABLE
893,Halo Moon Code Machine,Satoshi Dijkstra,2006,9782827090814,AVAILABLE
894,Crystal Machine Glass,Edsger Nakamoto,2016,9781739295786,OUT
895,Crystal Glass Voyage,Grace Ritchie,1981,9783736050791,AVAILABLE
896,Storm Glass Fire Garden,Claude Nakamoto,2023,9788683452734,AVAILABLE
897,Cipher Signal Cipher Signal,Grace Backus,1953,9785879647408,AVAILABLE
898,Dawn Storm,Katherine Nakamoto,2023,9785080046358,AVAILABLE
899,Harbor Harbor,James Shannon,2017,9788503172351,AVAILABLE
900,Dawn Labyrinth Dawn Dust,Hedy Lovelace,1955,9783140352635,AVAILABLE
901,Empire Moon Moon,Hedy Berners-Lee,1983,9786943460666,AVAILABLE
902,Harbor Dream Dawn,John Hamilton,1951,9786072311127,AVAILABLE
903,Iron Voyage,Dennis Dijkstra,1982,9786484494116,AVAILABLE
904,Storm Voyage,John Torvalds,1966,9780771130621,AVAILABLE
905,Circuit Storm Night Cipher,Hedy Thompson,2006,9787908335090,AVAILABLE
906,Garden Phoenix,Margaret Dijkstra,1994,9780662481323,AVAILABLE
907,Glass Quantum Archive,Ada Allen,1958,9789848228501,AVAILABLE
908,Storm Cipher Echo Voyage,Ada Lamarr,1971,9785502130609,AVAILABLE
909,Harbor Signal,Satoshi Knuth,1978,9780981079649,AVAILABLE
910,Archive Halo Quantum,Tim Backus,1982,9787727853242,OUT
911,River Dream Iron,Ken Lovelace,2005,9782076836253,AVAILABLE
912,Cipher Dream Cipher,Frances Allen,2006,9787555628333,AVAILABLE
913,Dawn Dust Dawn Phoenix,Hedy Thompson,2009,9786543627187,AVAILABLE
914,Dream Harbor Atlas,Hedy Gosling,1956,9785826862703,OUT
915,Dust Glass Iron,Margaret Nakamoto,1969,9789326573275,AVAILABLE
916,Halo Atlas Code Echo,Alan Knuth,1958,9780051553234,OUT
917,Machine Code,Dennis Nakamoto,2007,9782441822261,AVAILABLE
918,Halo Code Cipher Iron,Mary Jackson,2010,9784312710267,AVAILABLE
919,Labyrinth Iron Atlas,Ada Nakamoto,1996,9789927079551,AVAILABLE
920,Storm Iron Moon,Hedy Johnson,2000,9781354159709,AVAILABLE
921,Cipher Iron Machine Phoenix,Margaret Torvalds,2015,9788075203447,OUT
922,Garden Empire River,Frances Hopper,1992,9782909046376,AVAILABLE
923,Empire Whisper Glass,Margaret van Rossum,1992,9788665254837,AVAILABLE
924,River Storm Halo,Frances Hopper,1990,9781021312512,AVAILABLE
925,Circuit Night Atlas Storm,Grace Lovelace,1951,9785912975191,AVAILABLE
926,Whisper Moon,Linus Hopper,1973,9781063301658,OUT
927,Labyrinth Harbor,Linus Backus,1973,9789072801234,AVAILABLE
928,Dream Voyage,Satoshi Torvalds,1965,9781325326949,AVAILABLE
929,Echo Fire Star,Linus Gosling,1982,9783804421017,AVAILABLE
930,Dream Quantum Empire,Hedy Gosling,1960,9787015959194,AVAILABLE
931,Harbor Garden Archive Machine,John Thompson,2013,9787583392056,OUT
932,Dream Archive Garden,Guido Allen,2009,9782660256265,AVAILABLE
933,Cipher Circuit,Edsger Liskov,1973,9780672453076,OUT
934,Star Harbor,Mary Hamilton,1979,9789766270511,OUT
935,Whisper Labyrinth Code,Katherine Liskov,1980,9787367042549,AVAILABLE
936,Code Crystal Code,Barbara Shannon,1986,9785259710756,OUT
937,Dawn Garden,Tim Ritchie,2010,9788595325939,AVAILABLE
938,Night Harbor Harbor Night,John Nakamoto,2010,9785816295187,AVAILABLE
939,Code Dream Dream,Margaret Hopper,2007,9783425073305,AVAILABLE
940,Harbor Code Labyrinth,Mary Liskov,1984,9787598339914,AVAILABLE
941,Empire Quantum Dream Dawn,Claude Shannon,1986,9786604432400,OUT
942,Fire Atlas Cipher Storm,Ken Allen,1968,9786829751474,AVAILABLE
943,Whisper Code,Frances Johnson,1970,9785010587525,AVAILABLE
944,Signal Voyage Shadow Fire,James Ritchie,2000,9789045990802,OUT
945,Storm Halo Storm,Barbara Liskov,1963,9783155516517,AVAILABLE
946,Voyage Empire Echo,James van Rossum,1969,9781372143308,AVAILABLE
947,Empire Fire,Tim Backus,1955,9783228556608,OUT
948,Labyrinth Shadow Glass,James Jackson,1958,9789033970519,OUT
949,Echo Dream Harbor,Edsger van Rossum,1977,9780944858623,OUT
950,River Garden Dawn Garden,Margaret van Rossum,1965,9787079863210,AVAILABLE
951,Circuit Crystal Quantum,Linus Torvalds,2022,9784394570394,AVAILABLE
952,Echo Shadow,Katherine Lovelace,1977,9785376576927,AVAILABLE
953,Voyage Code Star,Tim Hopper,1963,9780900404769,AVAILABLE
954,Crystal Empire,Ken Torvalds,1974,9785146040142,AVAILABLE
955,Archive Halo Halo,Linus Knuth,1953,9787201137984,AVAILABLE
956,Shadow Whisper Dust,John Hopper,1969,9786600767620,OUT
957,Dream Empire Glass Storm,Margaret Johnson,2011,9784043370096,OUT
958,Whisper Labyrinth Circuit Night,Alan Johnson,1996,9785778255882,OUT
959,Quantum Fire Machine,James Dijkstra,2024,9787542786561,AVAILABLE
960,River Dream Moon Garden,Ken Allen,2007,9782058295829,AVAILABLE
961,Harbor Circuit,Linus van Rossum,1960,9781880819048,AVAILABLE
962,Iron Quantum Night Glass,Dennis Backus,1964,9785868639561,OUT
963,Fire Fire,Frances Liskov,1974,9788172143643,AVAILABLE
964,Fire Crystal Harbor Dawn,Ada Lovelace,1953,9783211471656,OUT
965,Whisper Code,Katherine Ritchie,1999,9784699799070,AVAILABLE
966,Garden Machine Shadow,Margaret Backus,1999,9781699570607,AVAILABLE
967,Labyrinth River,Mary Hopper,1960,9781765397054,OUT
968,Atlas Whisper Phoenix Archive,Linus Lamarr,2002,9782908718274,OUT
969,Dust Signal Circuit Halo,Mary Turing,1982,9788727420495,AVAILABLE
970,Crystal Glass Moon,Grace Torvalds,2011,9780626042359,AVAILABLE
971,Night Whisper Archive,Donald Knuth,1971,9789907756085,OUT
972,Voyage Crystal Cipher Labyrinth,Alan Hamilton,2005,9786111457683,AVAILABLE
973,Crystal Shadow,Edsger Hopper,2023,9783785847129,OUT
974,Crystal Voyage Empire,Tim Torvalds,1968,9786050801849,OUT
975,Shadow Star Dream Circuit,Barbara Ritchie,1981,9783377731268,AVAILABLE
976,Fire Voyage Phoenix Circuit,Grace Liskov,1966,9782178192365,AVAILABLE
977,Harbor River,James Turing,2005,9785603567932,OUT
978,Code Circuit Echo,James Dijkstra,1980,9784716906181,AVAILABLE
979,Dream Atlas Moon Atlas,Alan Thompson,1985,9787548954787,AVAILABLE
980,Atlas Phoenix Harbor,Satoshi Jackson,2023,9785175889144,OUT
981,Phoenix Star Code,Claude Berners-Lee,1990,9785393543586,AVAILABLE
982,River Code Cipher,Linus Lamarr,1967,9784358853798,AVAILABLE
983,Crystal Quantum,Katherine Berners-Lee,1976,9785275367497,AVAILABLE
984,Garden Moon River Code,Grace Hamilton,1965,9788601347789,AVAILABLE
985,Echo Dust Cipher,Linus Hamilton,1956,9787917665122,AVAILABLE
986,Machine Atlas,Alan Turing,1958,9788842163090,OUT
987,Crystal Garden,Hedy Hamilton,1986,9783399948532,AVAILABLE
988,Voyage Dust,Dennis Berners-Lee,1971,9786389021994,AVAILABLE
989,Crystal Crystal Night,James Berners-Lee,1980,9782234103469,AVAILABLE
990,Phoenix Signal Archive Dawn,Tim Knuth,1960,9787726960843,AVAILABLE
991,Labyrinth Cipher Circuit Dream,Claude Ritchie,1991,9788967935219,OUT
992,Glass Signal Iron Circuit,Guido Torvalds,1977,9786434369709,OUT
993,Fire Whisper,Grace Allen,1952,9785560767616,AVAILABLE
994,Machine Night River,Ken Hamilton,2011,9783989830650,OUT
995,Storm Whisper,Edsger Hopper,2020,9781847242642,OUT
996,Cipher Star,Edsger Shannon,1958,9781909248762,OUT
997,Shadow Circuit,Linus Lamarr,1959,9781428178522,OUT
998,Halo Iron Night Circuit,Ada Ritchie,1971,9788088062207,AVAILABLE
999,Phoenix Moon,Tim Lamarr,1997,9784737213290,AVAILABLE
1000,Signal Moon,Ada Johnson,2008,9787688687859,AVAILABLE
1001,Whisper Harbor Quantum Signal,Margaret Shannon,2002,9787203195419,OUT
1002,Signal Signal Star,Ken Lovelace,1990,9780362792463,AVAILABLE
1003,Shadow Dream,Tim Allen,1982,9787753726032,AVAILABLE
1004,Halo Crystal Star Machine,Alan Thompson,2009,9786194588707,AVAILABLE
1005,Machine Garden,Linus Johnson,2014,9781284008385,OUT
1006,Archive Signal,Dennis Lamarr,2008,9785450891776,OUT
1007,Empire Glass Atlas Voyage,Satoshi Shannon,1958,9782657422319,AVAILABLE
1008,River Signal Night,Alan Turing,1988,9782369362689,OUT
1009,Halo Dawn Shadow,Grace Dijkstra,1954,9787137271175,OUT
1010,Quantum Machine Phoenix Labyrinth,Margaret Nakamoto,2021,9785582984933,AVAILABLE
1011,Cipher Labyrinth,Margaret Ritchie,2015,9786094412833,OUT
1012,Archive Dream,Barbara Knuth,2019,9786669541329,AVAILABLE
1013,Halo Glass Storm,Dennis Turing,2005,9786267055143,AVAILABLE
1014,Dream Labyrinth Halo,Guido Nakamoto,1977,9783439252959,AVAILABLE
1015,Phoenix Storm Crystal,Grace Hopper,1951,9786712007202,OUT
1016,Harbor Machine Glass,Ken Nakamoto,1961,9784510910903,OUT
1017,Dream Signal,John Knuth,1984,9789819421794,AVAILABLE
1018,Fire Atlas,Claude Knuth,2013,9784065277584,AVAILABLE
1019,Fire Whisper Harbor,Guido Gosling,1980,9784533722010,AVAILABLE
1020,Dream Crystal Moon Crystal,Frances Liskov,1969,9784559376618,AVAILABLE
1021,Dust Star Halo Whisper,Linus Backus,1954,9786351004627,AVAILABLE
1022,Glass Signal Circuit,Dennis Allen,1967,9786592024617,AVAILABLE
1023,Moon Empire Dream,Barbara Berners-Lee,2015,9784326005595,AVAILABLE
1024,Shadow Crystal Labyrinth,Claude Torvalds,1977,9788486899936,OUT
1025,Circuit Empire Archive Quantum,Satoshi Jackson,1987,9787045069176,AVAILABLE
1026,Halo Dream Code,Satoshi Berners-Lee,1990,9783744039464,AVAILABLE
1027,Echo Night,Alan Berners-Lee,2007,9780601488608,OUT
1028,Circuit Atlas Fire Circuit,Katherine Lamarr,1956,9789388413685,AVAILABLE
1029,Voyage Fire,Linus Lovelace,2004,9783701242446,OUT
1030,Dream Cipher,Linus Dijkstra,1996,9784488112103,OUT
1031,Atlas Atlas,Margaret Dijkstra,1964,9785188781794,AVAILABLE
1032,Machine Circuit,Grace Thompson,1972,9783840911225,AVAILABLE
1033,Echo Harbor,Mary Torvalds,2011,9785056618632,AVAILABLE
1034,Code Fire,John Nakamoto,1958,9783787655300,AVAILABLE
1035,Dawn Shadow Dust,Ken Lovelace,1997,9786057121988,AVAILABLE
1036,Dust Moon,John Backus,2020,9785190534864,AVAILABLE
1037,Phoenix Crystal,Alan Johnson,1967,9786245618517,AVAILABLE
1038,Quantum Star Cipher,Ada Lovelace,1986,9781289915114,OUT
1039,Garden Dream Crystal,Edsger Nakamoto,1977,9781304488189,AVAILABLE
1040,Voyage Star Halo Voyage,Katherine Knuth,2001,9780461540211,AVAILABLE
1041,Shadow Crystal Dream Labyrinth,Alan Backus,1996,9781429831522,AVAILABLE
1042,Halo Dust Whisper Phoenix,Donald Lovelace,2010,9782283608493,OUT
1043,Voyage Night Empire,James Torvalds,1999,9788452696944,OUT
1044,Code Phoenix,Donald Gosling,1982,9787016934292,AVAILABLE
1045,Dust Crystal Glass Night,Barbara Turing,1979,9780162341903,AVAILABLE
1046,Crystal Harbor Whisper Shadow,James Knuth,1993,9782215566847,OUT
1047,Dawn Phoenix Fire Moon,Linus van Rossum,1995,9783774604067,OUT
1048,Empire Circuit,Alan Allen,2017,9786142442607,OUT
1049,Storm Dust Archive Machine,Katherine Berners-Lee,2007,9784764273720,OUT
1050,Fire Labyrinth,Guido Berners-Lee,2020,9782145841484,AVAILABLE
1051,Signal Shadow Storm Dust,Donald Berners-Lee,1986,9783899827802,OUT
1052,Garden Atlas,Mary Gosling,2022,9787321464493,OUT
1053,Signal Glass Harbor Code,Satoshi Nakamoto,1995,9787933505573,OUT
1054,Garden Labyrinth Night Cipher,Mary Lovelace,1959,9782360376811,OUT
1055,Voyage Archive Whisper Moon,Tim Torvalds,1977,9780409614973,AVAILABLE
1056,Garden Halo,Tim Lamarr,1965,9784983074820,OUT
1057,Harbor Dawn Circuit,James Ritchie,1962,9789394065578,OUT
1058,Iron Shadow Quantum Crystal,Satoshi Lovelace,1985,9782302333247,OUT
1059,Glass Archive,Tim Lamarr,1967,9783546212760,OUT
1060,Machine Empire,Mary Dijkstra,2003,9782312616324,OUT
1061,Echo Whisper Voyage Dream,Claude Nakamoto,2024,9787298937629,AVAILABLE
1062,River Garden River,Hedy Torvalds,1952,9784687191203,OUT
1063,Whisper Voyage Phoenix Crystal,Mary Backus,2000,9789208283230,AVAILABLE
1064,Phoenix Code Voyage Dream,Grace Berners-Lee,2018,9785881445822,AVAILABLE
1065,Cipher Labyrinth,Linus Liskov,1978,9781829716815,AVAILABLE
1066,Iron Glass River,Dennis Lovelace,1954,9780001529113,AVAILABLE
1067,Circuit Crystal Archive,Mary Thompson,1957,9789025561844,AVAILABLE
1068,Iron Storm Voyage,Barbara Lamarr,2023,9784781224890,AVAILABLE
1069,Signal Labyrinth Empire,Claude Gosling,2009,9789004365515,OUT
1070,Echo River Echo Moon,Guido van Rossum,2022,9786248355054,OUT
1071,Circuit Dust,Guido Turing,2020,9787063369987,AVAILABLE
1072,Machine Circuit Shadow Atlas,Hedy Shannon,1973,9780401648188,OUT
1073,Shadow River Fire Quantum,Margaret Dijkstra,2020,9787383638164,AVAILABLE
1074,Moon Glass,Grace Liskov,2001,9784289464203,AVAILABLE
1075,Atlas Whisper Moon,Ken Shannon,2005,9784417064625,OUT
1076,Atlas Star Phoenix,Alan Dijkstra,2001,9785582430176,AVAILABLE
1077,Cipher Circuit River,Katherine Shannon,2023,9788803153888,AVAILABLE
1078,Harbor River,Dennis Liskov,2009,9780504043333,AVAILABLE
1079,Dawn Harbor Echo,Margaret Nakamoto,1990,9781632111978,AVAILABLE
1080,Quantum Dream Circuit,Donald Jackson,1956,9783391373265,AVAILABLE
1081,Empire Dream,James Turing,1959,9789875617868,AVAILABLE
1082,Phoenix Echo Dream Shadow,Ada Dijkstra,1976,9780915618298,AVAILABLE
1083,Night Whisper,Guido Ritchie,2010,9787449160936,AVAILABLE
1084,Code Circuit Machine,Barbara Turing,1959,9781189418433,OUT
1085,Echo Labyrinth Garden,Ada Nakamoto,1967,9786322399821,AVAILABLE
1086,Archive River,Dennis Ritchie,2003,9784042886050,OUT
1087,Night Labyrinth Halo,Guido Gosling,2005,9780811260030,AVAILABLE
1088,Dream Dawn Machine Signal,Guido Lamarr,1961,9780627153123,AVAILABLE
1089,Dream Garden Machine,Alan Gosling,2015,9786917768293,AVAILABLE
1090,Harbor River Star Quantum,Alan Knuth,1980,9788087354378,OUT
1091,Dream Echo Moon Cipher,Alan Torvalds,1979,9789101570908,AVAILABLE
1092,Dust Dust Whisper,Grace Johnson,1986,9780749269996,AVAILABLE
1093,Dust Circuit Signal Phoenix,Katherine Jackson,2008,9788428596932,OUT
1094,Dust Crystal Star,Ada Shannon,1989,9783231234266,AVAILABLE
1095,Voyage Empire Cipher Code,Ada Jackson,2010,9781760723483,OUT
1096,Code Night Garden Glass,Hedy Thompson,1981,9788280405612,AVAILABLE
1097,Dust Code Cipher Garden,Ada Jackson,1968,9785826418696,AVAILABLE
1098,Cipher Fire Storm,Linus Lovelace,2021,9786123859514,AVAILABLE
1099,Atlas River,Guido Jackson,1969,9784840027300,OUT
1100,Phoenix Echo Cipher Code,Guido van Rossum,1958,9781683113950,AVAILABLE
1101,Storm Signal,Claude Turing,1985,9789150762839,OUT
1102,Fire Cipher Fire,Barbara Turing,1997,9784407779462,OUT
1103,Whisper Archive,Barbara van Rossum,2002,9789250817760,AVAILABLE
1104,Dust Whisper,Hedy Hopper,1983,9788841333731,OUT
1105,Halo Garden,Ken Dijkstra,1975,9786178170321,OUT
1106,Code Iron,Ada van Rossum,1964,9786385277895,OUT
1107,Crystal Dawn Dawn,Frances Hopper,2019,9784902950264,OUT
1108,Empire Harbor Crystal Cipher,Margaret Johnson,1956,9783416781277,OUT
1109,Echo Iron Halo Iron,Grace Lovelace,1970,9787982134862,AVAILABLE
1110,Voyage Garden Quantum Harbor,John Lamarr,2006,9786383182856,OUT
1111,Garden Night,Satoshi Allen,1952,9789866177067,AVAILABLE
1112,Dream Signal,Claude Liskov,1951,9780682122355,AVAILABLE
1113,Iron Storm Signal Glass,Ken Lovelace,1992,9787146921821,AVAILABLE
1114,Moon Garden Dust Signal,Frances Lamarr,1955,9788436998480,AVAILABLE
1115,Moon Dream,Alan Ritchie,1954,9783869484249,AVAILABLE
1116,Phoenix Quantum Code,Claude Jackson,1958,9784578870715,AVAILABLE
1117,Night Dream,Mary van Rossum,2007,9783820974619,AVAILABLE
1118,Quantum Fire,Frances Backus,2018,9788299687225,AVAILABLE
1119,Dust Dawn Labyrinth Quantum,Alan Jackson,1990,9780623504056,AVAILABLE
1120,Quantum Code Garden,Frances Nakamoto,1954,9781248255442,OUT
1121,Signal Archive Dust Signal,Linus Liskov,1995,9789423289463,AVAILABLE
1122,Voyage Dream,Satoshi Knuth,1993,9784152857256,AVAILABLE
1123,Dust Iron,Guido Nakamoto,1978,9783589513818,AVAILABLE
1124,Signal Machine Machine Shadow,John Shannon,1983,9788509574430,AVAILABLE
1125,Star Fire,Hedy Knuth,2015,9781179720385,AVAILABLE
1126,Night River Circuit Empire,Grace Thompson,1976,9781547155313,AVAILABLE
1127,Iron Machine Code Dream,Linus Gosling,2010,9788136750094,AVAILABLE
1128,Whisper Phoenix,Donald Johnson,1961,9785276981987,OUT
1129,Empire Code Quantum Harbor,Barbara Backus,1950,9782388856225,OUT
1130,Circuit Halo Circuit Atlas,James Gosling,1957,9789867874422,AVAILABLE
1131,Whisper Garden Echo,Dennis Hamilton,2019,9789655942824,AVAILABLE
1132,Halo Crystal Storm Circuit,James Ritchie,1953,9780002453931,OUT
1133,Moon Fire,Donald Ritchie,1990,9780557083682,OUT
1134,Crystal Star Star Star,Claude Shannon,1999,9789727367746,AVAILABLE
1135,Quantum Shadow,Barbara Thompson,2015,9782543183281,AVAILABLE
1136,Moon Dawn Harbor Storm,Barbara Torvalds,1968,9780491060183,AVAILABLE
1137,River Labyrinth Iron,Linus Jackson,2009,9788276817225,OUT
1138,Archive Garden River,Ken Jackson,1984,9786290529187,AVAILABLE
1139,Dream Glass Voyage,Tim Knuth,2000,9782717217337,OUT
1140,Quantum Dawn Halo Dust,Satoshi Dijkstra,1953,9782299936216,OUT
1141,Glass Phoenix Dust,Grace Johnson,1980,9782325539835,AVAILABLE
1142,Star River Cipher Crystal,John Allen,2013,9786430954497,OUT
1143,Whisper Quantum Crystal Iron,Frances Lamarr,2024,9782927120539,AVAILABLE
1144,Atlas Echo Halo,John Knuth,1977,9785298832201,AVAILABLE
1145,Circuit Machine,Guido Turing,2020,9780048797888,OUT
1146,Archive Machine Glass Dawn,Ken Shannon,1995,9788600304436,OUT
1147,Storm Harbor Dust Phoenix,Satoshi Ritchie,1964,9785239102929,AVAILABLE
1148,Machine Glass Shadow Storm,Katherine Torvalds,2011,9788309309671,OUT
1149,Glass Dust,John Hopper,1964,9780221321767,OUT
1150,Moon Empire Crystal Code,Grace Knuth,1964,9781220190725,AVAILABLE
1151,Quantum Halo Echo Atlas,Frances Berners-Lee,1975,9783049366538,AVAILABLE
1152,Glass Iron,Frances Johnson,2016,9784211408682,OUT
1153,Phoenix Shadow Dust,Dennis Liskov,1969,9786209355610,AVAILABLE
1154,Whisper Glass,Satoshi Lamarr,1994,9789701371243,OUT
1155,Halo Machine Voyage,Dennis Jackson,1996,9782304120270,AVAILABLE
1156,Crystal Machine Code,Edsger Backus,1979,9784029907166,AVAILABLE
1157,Shadow Cipher Night Moon,Barbara Johnson,2017,9781554203403,AVAILABLE
1158,Crystal Shadow,Hedy Thompson,2001,9789756491579,AVAILABLE
1159,Atlas Machine Machine Star,James Dijkstra,1981,9781247601080,OUT
1160,Circuit Circuit,Claude Knuth,1954,9786831764172,OUT
1161,Echo Empire Voyage,Ada Shannon,1962,9785712901507,AVAILABLE
1162,Dawn Echo,Alan Gosling,2007,9780735104584,OUT
1163,Star Dawn Circuit,Guido Dijkstra,1964,9780096258857,AVAILABLE
1164,Whisper Cipher Code,Margaret Backus,1953,9788053396274,OUT
1165,Dream Signal Cipher,Barbara Hopper,1995,9788327000466,AVAILABLE
1166,Crystal Star Garden,Satoshi Lovelace,1958,9780797714004,AVAILABLE
1167,Night Voyage Atlas Voyage,Grace Nakamoto,1984,9785315204998,AVAILABLE
1168,Circuit Dust,Katherine Lamarr,2013,9786987313797,AVAILABLE
1169,Crystal Harbor Cipher Signal,Hedy Jackson,1987,9786123740779,OUT
1170,Night Night Harbor,Edsger Ritchie,2005,9788994991970,OUT
1171,Whisper Harbor,Margaret Dijkstra,2005,9782037087821,AVAILABLE
1172,Cipher Empire,Edsger Lovelace,1983,9788135998989,OUT
1173,Dream Moon Dream,Donald Hopper,2006,9788894801864,AVAILABLE
1174,Voyage Moon Iron,Donald Allen,1995,9783978570820,AVAILABLE
1175,River Voyage,Alan Gosling,2010,9781236914961,OUT
1176,Glass Storm Halo Iron,Claude Backus,1984,9789688276970,AVAILABLE
1177,Empire Dust Machine,Tim Knuth,1983,9781961560783,AVAILABLE
1178,Labyrinth Star,Mary Jackson,1978,9786517962409,OUT
1179,Whisper Fire Star,Hedy van Rossum,1999,9784960478421,AVAILABLE
1180,Shadow Moon Voyage,Dennis Knuth,1999,9785936488208,OUT
1181,Circuit Atlas Night River,Mary van Rossum,2018,9783906246728,AVAILABLE
1182,Code Dust Storm,James Lovelace,1958,9781319359236,OUT
1183,Night Dawn,John Gosling,1950,9783045881650,OUT
1184,Machine Halo,Margaret Johnson,2013,9781916503440,OUT
1185,Cipher Signal Phoenix Storm,John Backus,1958,9782498980880,AVAILABLE
1186,Archive Harbor Voyage,Barbara Knuth,1984,9784681359266,OUT
1187,Voyage Cipher Code,Mary Lamarr,1981,9789698748694,AVAILABLE
1188,Dream Phoenix Storm Garden,Dennis Nakamoto,1983,9780119292075,AVAILABLE
1189,Whisper Halo,Guido Turing,1994,9787160398863,OUT
1190,Garden Night Cipher,Barbara Knuth,2015,9785590670009,AVAILABLE
1191,Fire Dust Star Circuit,Barbara Johnson,2017,9784204664896,AVAILABLE
1192,Labyrinth Cipher Empire,Dennis Gosling,1983,9784565775809,OUT
1193,Circuit Star Atlas,Dennis Berners-Lee,1974,9789062354662,AVAILABLE
1194,Iron Atlas Cipher Garden,Katherine Turing,1963,9785995300622,AVAILABLE
1195,Iron Moon,Katherine Dijkstra,2007,9787746259160,AVAILABLE
1196,Storm Iron,Margaret Knuth,1961,9788488600801,AVAILABLE
1197,Dust Echo Signal,John Backus,2021,9781299570472,OUT
1198,Cipher Circuit River Phoenix,Edsger Gosling,1959,9781203843753,OUT
1199,Machine Whisper Dust,Guido Jackson,1956,9785254824218,AVAILABLE
1200,Atlas Night Echo Garden,Margaret Thompson,1984,9786445475231,OUT
1201,Moon Dawn,Barbara Allen,1986,9789791776334,AVAILABLE
1202,Fire Glass Quantum Iron,John Dijkstra,1953,9788862175080,OUT
1203,Code Circuit,Guido Berners-Lee,1955,9783069358824,OUT
1204,Dream Night Garden Phoenix,Tim Johnson,1951,9781816778481,OUT
1205,Machine Iron River,Margaret Hamilton,1996,9786083851799,OUT
1206,Archive Whisper,Mary Knuth,1951,9785391287884,AVAILABLE
1207,Quantum Signal Circuit Code,Satoshi Nakamoto,2004,9788829045792,AVAILABLE
1208,Crystal River Harbor,Frances Liskov,1982,9780198642423,AVAILABLE
1209,Fire Night Dust Archive,Edsger Shannon,1980,9781218706293,OUT
1210,Echo Phoenix,Claude Turing,2023,9783221010232,AVAILABLE
1211,Shadow Storm,Claude van Rossum,2009,9781008987610,AVAILABLE
1212,Storm Harbor Star Dawn,Ken van Rossum,1961,9783845319807,OUT
1213,Cipher Circuit Atlas,Mary Liskov,1974,9786951003076,OUT
1214,Shadow Machine,Margaret Ritchie,1998,9781500666641,AVAILABLE
1215,Shadow Dream,Guido Thompson,1988,9781340785169,AVAILABLE
1216,River Atlas Code Labyrinth,Alan Shannon,1951,9788366834826,AVAILABLE
1217,Quantum Dust Dust Code,Guido Dijkstra,1999,9780838688891,AVAILABLE
1218,Echo Glass Glass,John Lamarr,1959,9785962571976,AVAILABLE
1219,Whisper Code,Tim Liskov,1952,9782657898260,AVAILABLE
1220,Storm Voyage Phoenix,Ada Nakamoto,1997,9781755851777,AVAILABLE
1221,Whisper Storm Glass,Barbara Backus,1987,9782118824199,AVAILABLE
1222,Moon Cipher River,Edsger Dijkstra,1968,9787589170454,AVAILABLE
1223,Crystal Harbor,Mary Thompson,1987,9780568209225,AVAILABLE
1224,Harbor Shadow Whisper,Satoshi Lovelace,1956,9786356407232,OUT
1225,Phoenix Phoenix Labyrinth,Edsger Shannon,1970,9789540017882,AVAILABLE
1226,Whisper River,Frances Berners-Lee,1961,9786168507105,OUT
1227,Fire Whisper Atlas Empire,Grace Knuth,2023,9780927115261,AVAILABLE
1228,Dream Empire Quantum Machine,Tim Allen,1956,9782300716950,AVAILABLE
1229,Labyrinth River,Grace Shannon,2023,9788543298769,AVAILABLE
1230,Dust Dawn Phoenix Phoenix,James Thompson,1966,9784716198273,AVAILABLE
1231,Circuit Voyage Storm,Linus Hopper,1954,9780258963217,OUT
1232,Dawn Dream Circuit,Ken Allen,1982,9783526806486,AVAILABLE
1233,Quantum Cipher,Frances Torvalds,2020,9784488384253,OUT
1234,Halo Circuit Halo,Katherine van Rossum,1967,9785507740657,AVAILABLE
